	PPN	Bibliographische Gattung und Status	Sprache	Erscheinungsjahr	Erscheinungsort	Erscheinungsort GND	Titel	Verfasservorname	Verfassername	GND Verfasser	1. Weitere Verfasser Vorname	1. Weitere Verfasser Nachname	1. Weitere Verfasser GND	2. Weitere Verfasser Vorname	2. Weitere Verfasser Nachname	2. Weitere Verfasser GND	1. Weitere Person Vorname	1. Weitere Person Nachname	1. Weitere Person GND	2. Weitere Person Vorname	2. Weitere Person Nachname	2. Weitere Person GND	1. Sonstige Person Vorname	1. Sonstige Person Nachname	1. Sonstige Person GND	2. Sonstige Person Vorname	2. Sonstige Person Nachname	2. Sonstige Person GND
214	144317001	Acus	fre	1724	Amsterdam		Histoire De La Milice Françoise, Et des changemens qui s'y sont faits depuis l'établissement de la Monarchie Françoise dans les Gaules, jusqu'à la fin du Régne De Louis Le Grand	Gabriel	Daniel	gnd/123800749													leer	leer	gnd/118816829			
215	144325160	Aaus	fre	1602	Paris		Les Loix Militaires Tovchant Le Dvel, Diuisées en quatre liures ; Au I. desquels est traicté de toute sorte de Duels. Au II. de l'Honneur, & du Dementir. Au III. de l'appareil & circonstances du Duel. Au III. des apoinctemens des quereles	Scipion	Du Pleix	gnd/123381517							...	Montespan	leer				I.	Vienne	leer	Fran.	Du Pleix	leer
216	144678861	Aau	fre	1711	A Amsterdam		Hieron Ou Portrait De La Condition Des Rois	Xenophon		gnd/118635808							Pierre	Coste	gnd/11900478X									
217	144679159	Aau	fre	1699	Amsterdam		Les choses memorables de Socrate ; Ouvrage de Xenophon Traduit de grec en Francois	Xenophon		gnd/118635808							François	Charpentier	gnd/124866719									
218	144764393	Acus	ger	1791	Berlin	gnd/4005728-8	Freymüthige Anmerkungen über des Herrn Ritters von Zimmermann Fragmente über Friedrich den Großen										Friedrich	Nicolai	gnd/118587668				Johann Georg	Zimmermann	gnd/118636979	leer	leer	gnd/118535749
219	145822524	Acr	fre	1715	Paris		Le manuel d'Epictete et les commentaires de Simplicius ; traduite en François, avec de remarques	Epictetus		gnd/118530577							André	Dacier	gnd/118523228	Simplikios	leer	gnd/118642421						
220	146046188	Aau	fre	1696	[Paris]		Bigarures Ingenieuses, Ou Recüeil de diverses Pieces galantes en prose & en vers	Marie-Jeanne	L'Héritier de Villandon	gnd/119165546																		
221	146047338	Aau	fre	1681	A Amsterdam		Histoire Des Juifs	Flavius	Josephus	gnd/118640003							Robert	Arnauld D'Andilly	gnd/119271001									
222	146055349	Acus	fre	1728	La Haye		Oeuvres Diverses De M. De Fontenelle, De L'Academie Françoise	Bernard Le Bovier	Fontenelle	gnd/118639056							Bernard	Picart	gnd/123379636									
223	146309677	Aaus	fre	1704	Utrecht		Oeuvres Postumes Du Chevalier Temple ; Contenant I. Un Essai sur les Mécontentemens Populaires. II. Un Essai sur la Santé & la longue Vie. III. Une défence de l'Essai sur le Savoir des Anciens & des Modernes ; Des Pensees Sur les diferens états de la Vie & de la Fortune, & sur la Conversation	William	Temple	gnd/118801619																		
224	146403177	Aaus	fre	1729	Amsterdam		Essai Philosophique Concernant L'Entendement Humain, Ou L'On Montre Quelle Est L'Etendue De Nos Connoissances Certaines, Et La Maniere Dont Nous Y Parvenons	John	Locke	gnd/118573748							Pierre	Coste	gnd/11900478X	Edmund	Sheffeild	leer	J.	Greenhill	leer	P.	Gunst	leer
225	146621719	Aaus	fre	1700	A Amsterdam	gnd/4001783-7	Traité D'Origéne Contre Celse Ou Défence de la Religion Chrétienne contre les accusations des Païens	Origenes		gnd/118590235							Elie	Bouhéreau	gnd/140904824	Henri	Desbordes	gnd/1037507940						
226	146664655	Aaus	fre	1717	A Paris	gnd/4044660-8	Les Amours Pastorales De Daphnis Et Chloe	Longus		gnd/118574213							Jacques	Amyot	gnd/118502697	Emanuel	Du Villard	gnd/1037548981						
227	146814185	Aar	fre	1729	Amsterdam		Les Amours D'Ismene, Et D'Ismenias ; Avec Figures	Eustathius		gnd/118682733							Pierre-François Godart	Beauchamps	gnd/104188553									
228	146953096	Aaus	fre	1715	Paris		Histoire De La Musique, Et De Ses Effets ; Depuis son origine jusqu'à present	Jacques	Bonnet	gnd/118513311							Pierre	Bourdelot	gnd/118514059	Pierre	Bonnet-Bourdelot	gnd/121070557						
229	146973143	Aaus	ger	1784	Berlin	gnd/4005728-8	Gotthold Ephraim Leßings theologischer Nachlaß	Gotthold Ephraim	Lessing	gnd/118572121							Karl Gotthelf	Lessing	gnd/116950390									
230	147045614	Aar	fre	1685	Paris		Tibère ; discours politiques sur Tacite	Abraham Nicolas	Amelot de la Houssaie	gnd/100008569																		
231	147117437	Acus	fre	1706	Amsterdam		Histoire De La Conquéte Des Isles Moluques Par Les Espagnols, Par Les Portugais, & Par Les Hollandois	Bartolomé	Leonardo de Argensola	gnd/128526017																		
232	147157773	Acr	fre	1693	LaHaye		Nouvelles espagnolles	Marie Catherine Le Jumel de Barneville	Aulnoy	gnd/118808788																		
233	147159113	Aar	fre	1697	Philadelphie		La Balance de la religion et de la politique, ou réfléxions par lesquelles on fait voir que les réformez de France ont droit de prétendre d'être compris favorablement, par la médiation des puissances protestantes, dans le traité de paix, qui terminera la presente guerre																					
234	147164036	Aaus	fre	1719	Leide		Les Tragedies Et Autres Poésies De Mademoiselle M. A. Barbier	Marie Anne	Barbier	gnd/104348380							Pierre Antoine	Huybert	leer									
235	147166918	Aaus	fre	1718	Amsterdam		Voyage dans la Palestine, Vers le Grand Emir, Chef des Princes Arabes du Desert, connus sous le nom de Bedouïns, ou d'Arabes Scenites, qui se disent la vraïe posterité d'Ismaël fils d'Abraham fait par ordre du Roi Louis XIV. ; avec la description générale de l'Arabie, faite par le Sultan Ismael Abulfeda, traduite en François sur les meilleurs manuscrits, avec des notes	Laurent	Arvieux	gnd/118848224							Jean	La Roque	gnd/132984245				leer	leer	gnd/118816829			
236	147187907	Aaus	fre	1785	Paris		La Folle Journée, Ou Le Mariage De Figaro ; Comédie En Cinq Actes, En Prose ; Réprésentée pour le première fois, par les Comédiens français ordinaires de Roi, le mardi 27 avril 1784	Pierre Augustin Caron	Beaumarchais	gnd/118507850							...	Coqueley De Chaussepierre	leer	...	Bret	leer	...	St. Quentin	leer	...	Lienard	leer
237	147224470	Acus	fre	1698	[S.l.]		Les Oeuvres De Monsieur De Bensserade	Isaac	Benserade	gnd/118658263																		
238	147471907	Aaus	fre	1724	Paris		Histoire De L'Abbaye Royale De Saint Germain Des Prez ; Contenant La Vie Des Abbez Qui L'Ont Gouvernée depuis sa fondation: les Hommes Illustres qu'elle a donnez à l'Eglise et à l'Etat: les Privileges accordez par les Souverains Pontifes & par les Evêques: les Dons des Rois, des Princes & des autres Bienfaicteurs ; Avec la Description de l'Eglise, des tombeaux & de tout ce qu'elle contient de plus remarquable. Le tout justifié par des Titres authentiques, & enrichi de Plans & de Figures	Jacques	Bouillard	gnd/100051448													Jean	Chaufourier	gnd/123089131	...	Lucas	leer
239	147472288	Acu	fre	1727	LaHaye		Histoire De L'Ancien Gouvernement De La France ; Avec XIV Lettres Historiques sur les Parlemens ou Etats-Generaux	Henri	Boulainvilliers	gnd/11885674X																		
240	147486130	Aar	fre	1668	Cologne		La Boussole Des Amans																					
241	147523583	Acu	fre	1741	A La Haye	gnd/4011446-6	Histoire De La Vie Et Du Regne De Frederic-Guillaume, Roi De Prusse, Electeur De Brandebourg, [et]c. [et]c. [et]c.	Antoine Augustin	Bruzen de La Martinière	gnd/124841260							Friedrich Wilhelm	leer	gnd/118535978	Adriaen	Moetjens	gnd/1037579291						
242	147538785	Aau	fre	1716	Amsterdam	gnd/4001783-7	De La Maniere De Negocier Avec Les Souverains ; De l'utilité des Negociations, du choix des Ambassadeurs & des Envoyez, & des qualitez necessaires pour réüssir dans ces emplois	François	Callières	gnd/119419424							Philipp	leer	gnd/118820214									
243	147549817	Acr	fre	1737	LaHaye		Mémoires de la vie de mylord Duc d'Ormond ...										Thomas	Carte	gnd/100073778									
244	147551609	Aaus	fre	1741	Rotterdam		Reflexions Sur L'Antimachiavel De 1740	Charles Irénée	Castel de Saint-Pierre	gnd/119510952							Jan Daniel	Beman	gnd/1037505328				leer	leer	gnd/118535749			
245	147553806	Aau	fre	1688	Rotterdam		Voyage De Suisse, D'Italie, Et De Quelques Endroits d'Allemagne & de France, fait és années 1685, & 1686 ; Avec des remarques d'une personne de qualité, touchant la Suisse & l'Italie	Gilbert	Burnet	gnd/118674978																		
246	147557178	Acus	fre	1711	Amsterdam		Voyages De Mr. Le Chevalier Chardin, En Perse, Et Autres Lieux De L'Orient ; ... Enrichi d'un grand nombre de belles Figures en Taille-douce, représentant les Antiquitez & les Choses remarquables du Païs	John	Chardin	gnd/119384086																		
247	147558670	Aau	fre	1707	Berlin		Les Vies Des Electeurs de Brandenbourg, de la maison des burgraves de Nurenberg ; avec leur portraits, et leur généalogies	Johannes	Cernitius	gnd/1157581633							Antoine	Teissier	gnd/129426024									
248	147571170	Aau	fre	1645	Anvers		Les Marqves D'Honnevr De La Maison De Tassis	Jules	Chifflet	gnd/129549754							Alain	Chartier	leer	Antonius	Sanderus	leer	Antonius	Sanderus	leer	Nicol.	Horst	leer
249	147594863	Afr	fre	1702	Amsterdam		Relation De La Cour  De Portugal Sous D. Pedre II. A Present Regnant ; Avec des Remarques sur les Intérêts de cette Couronne par rapport aux autres Souverains; & l'Histoire de plus considerables Traitez, qu'elle ait faits avec eux; Traduite de l'Anglois	John	Colbatch	gnd/1013708792																		
250	147595657	Acu	fre	1728	Lyon		Histoire Litteraire De La Ville De Lyon, ; Avec Une Bibliotheque Des Auteurs Lyonnois, Sacrés Et Profanes, ; Distribués Par Siécles.	Dominique	Colonia	gnd/124188486																		
251	147611040	Aar	fre	1787	Berlin		Dernières pensées du roi de P*** ; écrites de sa main	Samuel	Constant	gnd/123166314																		
252	147623359	Acu	fre	1742	La Haye		Le Sopha ; Conte Moral	Claude Prosper Jolyot	Crébillon	gnd/118677276																		
253	147638992	Acr	fre	1706	Paris		La vie de Pythagore, ses symbols, ses vers dorez et la vie d'Hierocles	André	Dacier	gnd/118523228													leer	leer	gnd/118597248			
254	147658217	Aaus	fre	1788	Berlin		Essai Sur La Vie Et Le Règne De Fréderic II, Roi De Prusse ; Pour servir de préliminaire à l'édition de ses œuvres posthumes	Carlo	Denina	gnd/118902156													leer	leer	gnd/118535749			
255	147668255	Acus	fre	1730	Amsterdam	gnd/4001783-7	Le Nouveau Gulliver, Ou Voyage De Jean Gulliver, Fils Du Capitaine Gulliver	Pierre François Guyot	Desfontaines	gnd/118671596																		
256	147682134	Acus	fre	1745	Paris		Abregé De La Vie Des Plus Fameux Peintres ; Avec Leurs Portraits Gravés En Taille-Douce, Les Indications De Leurs Principaux Ouvrages, Quelques Réflexions sur leurs caractéres, Et La Maniere De Connoître Les Desseins Des Grands Maîtres	Antoine Joseph	Dézallier d'Argenville	gnd/11938955X																		
257	147692962	Aar	fre	1741	La Haye		Dictionnaire D'Amour, Dans Lequel on trouvera l'explication des termes les plus usités dans cette Langue	Jean François	Dreux du Radier	gnd/120555913																		
258	147696240	Aaus	fre	1728	Rotterdam		Le Solitaire Anglois, Ou, Avantures Merveilleuses De Philippe Quarll ; Traduit de l'Anglois	Peter	Longueville	gnd/137514107													...	Collare	leer			
259	147706246	Acus	fre	1746	Amsterdam		Histoire De Louis XI.	Charles Pinot	Duclos	gnd/118672576																		
260	147710995	Acus	fre	1794	Hambourg		Mémoires Du Général Dumouriez ; Ecrits par lui-même	Charles François Du Périer	Dumouriez	gnd/118672703																		
261	147711045	Acu	fre	1795	Hambourg		La Vie Du Général Dumouriez	Charles François Du Périer	Dumouriez	gnd/118672703																		
262	147717612	Aaus	fre	1741	Lausanne		Memoires Pour Servir A L'Histoire De La Fête Des Foux, Qui se faisoit autrefois dans plusieurs Eglises	Jean-Baptiste Lucotte	Du Tilliot	gnd/100117686							Jean	Bouhier	gnd/11943170X									
263	147724090	Aav	ger	1776	Braunschweig		Verzeichniß der Herzoglichen Bilder-Gallerie zu Salzthalen	Christian Nikolaus	Eberlein	gnd/102439672																		
264	147737400	Aav	ger	1781	Berlin		Lobrede auf den König ; Gehalten im Joachimsthalischen Gymnasium den 24. Januar 1781.	Johann Jakob	Engel	gnd/11868468X													leer	leer	gnd/118535749			
265	147754569	Aar	fre	1785	Berlin		Mémoire historique sur la fondation des colonies françoises dans les états du roi publié à l'occasion du jubilé qui sera célébré le 29. Octobre 1785	Jean Pierre	Erman	gnd/104114150	Peter Christian Friedrich	Reclam	gnd/12477489X															
266	147754577	Aaus	fre	1772	Berlin		Mémoire Historique Sur La Fondation De L'Église Françoise De Berlin ; Publié A L'Occasion Du Jubilé qui sera célébré le 10 Juin MDCCLXXII.	Jean Pierre	Erman	gnd/104114150																		
267	147754585	Aar	fre	1785	Berlin		Mémoire historique sur la fondation de l'église françoise de Potsdam ; publié à l'occasion du jubilé du refuge dans les états du roi qui sera célébré le 19. Octobre 1785	Jean Pierre	Erman	gnd/104114150																		
268	147756375	Acu	fre	1752	La Haye		L'esprit des nations	François Ignace	Espiard	gnd/100972632																		
269	148209289	Aav	fre	1742	[Erscheinungsort nicht ermittelbar]		Anti-St. Pierre, Ou Refutation De L'Enigme Politique De L'Abbé de St. Pierre.	Jean Henri Samuel	Formey	gnd/119353210													Charles Irénée	Castel de Saint-Pierre	gnd/119510952			
270	148634680	Acu	fre	1707	Cologne		L'état du Siège de Rome Dès le commencement du Siècle passé jusqu'à present. ; Ses Papes, leurs Familles, leurs incinations ... ; Avec une Idée du gouvernement des Manières & des Maximes Politiques de la Cour de Rome	Casimir	Freschot	gnd/128597771																		
271	148768164	Aar	fre	1772	Berlin		Recueil de passages propres a former l'esprit, le gout et le coeur de la jeunesse tirés des oeuvres du philosophe de Sans-Sousi	Friedrich		gnd/118535749							Anton Friedrich	Büsching	gnd/119003554									
272	148810667	Aav	fre	1770	Berlin		Lettre Sur L'Éducation	Friedrich		gnd/118535749																		
273	148810918	Aavs	fre	1780	A Berlin		De La Litterature Allemande ; Des Defauts Qu'On Peut Lui Reprocher ; Quelles En Sont Les Causes ; Et Par Quels Moyens On Peut Les Corriger	Friedrich		gnd/118535749																		
274	149886977	Aaus	fre	1663	[S.l.]		La Fortvne Des Gens De Qualité, Et Des Gentils-Hommes Particuliers ; Enseignant l'Art de vivre à la Cour, suivant les maximes de la Politique & de la Morale	Jacques	Caillières	gnd/12859053X							Henri	Longueville	leer									
275	149889771	Aau	fre	1695	La Haye		Essais Sur La Vie de la feuë Reine D'Angleterre	Gilbert	Burnet	gnd/118674978							David	Mazel	gnd/12879822X									
276	149889984	Acr	fre	1735	LaHaye		Histoire de ce qui s'est passé de plus mémorable en Angleterre pendant la vie de Gilbert Burnet	Gilbert	Burnet	gnd/118674978																		
277	149890044	Aar	fre	1688	Paris		Lettre de Burnet à Mr. Thevenot, contenant une courte critique de l'histoire du divorce de Henri VIII. écrite par M. LeGrand	Gilbert	Burnet	gnd/118674978																		
278	149891261	Aavs	fre	1719	Bonnefoy		Evenement Des Plus Rares Ou L'Histoire Du Sr. Abbe Comte De Buquoy ; singuliérement Son Evasion Du Fort-L'Eveqve Et De La Bastille L'Allemand à Coté, revüe & augmentée	Jean Albert d'Archambaud	Bucquoy	gnd/100437141							Anne Marguerite Petit	Du Noyer	gnd/100115454									
279	149893531	Aar	fre	1714	Paris		Les Principes du raisonement ; Exposez en 2 logiques nouvèles. Avec des remarques ...	Claude	Buffier	gnd/120570939																		
280	149894791	Aar	fre	1718	Amsterdam		Les Lettres de l'Empereur Rodolphe II. en France	Ogier Ghislain	Busbecq	gnd/119025280																		
281	149894937	Acr	fre	1722	Amsterdam		Oevres	Jean Galbert	Campistron	gnd/11866817X																		
282	149900562	Acus	lat	1691	Paris		Comedies	Titus Maccius	Plautus	gnd/118594974							Anne	Dacier	gnd/118670840									
283	149900678	Aar	lat	1716	Amsterdam		Les Captifs ; Comédie ...	Titus Maccius	Plautus	gnd/118594974							Pierre	Coste	gnd/11900478X									
284	149903278	Afr	fre	1686	Rotterdam		L'Accomplissement des prophéties ou La délivrance prochaine de l'église.	Pierre	Jurieu	gnd/118558900																		
285	149903936	Aar	fre	1708	Rotterdam		Relation de la Société établie pour la propagation de l'évangile dans les pays étrangers, par les lettres patentes du Roi Guillaume III. Où l'on voit les méthodes et les progrès de cette société ... Trad. de l'anglois, et suivie de 3 Sermons faits sur la conversion des gentils ... par Claude Grotéte de La Mothe	White	Kennett	gnd/120628678							Claude	Grostête	gnd/101663587				leer	leer	gnd/118643355			
286	149909446	Aar	fre	1663	o.O.		Les Amours d'Ovide ; Pastorale héroq̈ue	Gabriel	Gilbert	gnd/129266558																		
287	149912234	Aaus	fre	1688	[S.l.]		Nouvelles Predictions Sur la Destinée des Etats & Empires du Monde ; Les desseins du Roi d'Angleterre. Les Intrigues De La Cour De France. La Naissance & l'Education du Prince de Galles ; Traduit de l'Anglois										Friedrich Hermann	Schomberg	gnd/121009351									
288	149913036	Acr	fre	1709	Amsterdam		Les Oeuvres Du P. Rapin	René	Rapin	gnd/122387171																		
289	149913052	Aar	fre	1710	Amsterdam		Les Oeuvres diverses ... ; Contiennent L'Esprit du christianisme, La Perfection du christianisme, L'Importance du salut, La Foy des derniers diècles, La Vie des prédestinez. Nouv. éd., augm.	René	Rapin	gnd/122387171																		
290	149918771	Aar	fre	1737	Leide		Introduction à la philosophie, contenant la métaphysique, et la logique	Willem Jacob	Gravesande	gnd/118939297							Élias	Joncourt	gnd/123440289									
291	149921063	Acu	fre	1724	La Haye		Histoire D'Angleterre, Par Mr. De Rapin Thoyras	Paul	Rapin de Thoyras	gnd/124725988																		
292	149925166	Aar	fre	1646	o.O.		Mémoires du Duc de Rohan sur les choses advenues en France depuis la mort de Henry le Grand jusques à la paix faite avec les Réformez au mois de juin 1629 ...	Henri	Rohan	gnd/119336839																		
293	149925387	Aar	fre	1666	Cologne [i.e. Amsterdam		Maximes des princes et estats souverains	Henri	Rohan	gnd/119336839																		
294	149925433	Acu	fre	1665	Paris		Mémoires dv Dvc de Rohan, Sur les choses advenuës en France, depuis la Mort de Henry le Grand, iusques à la Paix faite avec les Réformez, au mois de Iuin 1629 ... ; Ensemble le voyage du mesme Autheur fait en Italie, Allemagne, Pay-Bas-Vny, Angleterre, & Escoss, Fait en l'an 1600	Henri	Rohan	gnd/119336839																		
295	149925638	Acus	fre	1708	À Paris		Traité De Physique	Jacques	Rohault	gnd/118790943																		
296	149926693	Acus	fre	1739	Amsterdam	gnd/4001783-7	Histoire Romaine Depuis La Fondation De Rome Jusqu'A La Bataille D'Actium: C'est-à-dire jusqu'à la fin de la République	Charles	Rollin	gnd/117593540							Jean Baptiste Louis	Crevier	gnd/100095224									
297	149930275	Acr	fre	1777	[Paris]		Oeuvres	Antoine	Hamilton	gnd/118720112																		
298	149934939	Acus	fre	1701	Amsterdam		Le Théâtre Italien De Gherardi, Ou Le Recueil Général de toutes les Comédies & Scènes Françoises jouées par les Comédiens Italiens du Roy, pendant tout le temps qui'ls ont été au service de sa Majesté ; Avec tous les Airs ... à la fin de chaque Volume	Evaristo	Gherardi	gnd/119160161							Adriaan	Braakman	gnd/133140717									
299	149948913	Aar	fre	1722	Londres		Essai sur le gouvernement civil, où l'on traite de la Nécessité, de l'Origine, des Droits, des Bornes, et des differentes formes de la Souveraineté.																					
300	149948972	Acus	fre	1753	Paris		L'Esprit Des Beaux-Arts	Pierre	Estève	gnd/130288403																		
301	149949952	Acus	fre	1719	La Haye	gnd/4011446-6	Lettres, Memoires, Et Negociations De Monsieur Le Comte D'Estrades, Ambassadeur de Sa Majesté Très-Chrêtienne, en Italie, en Angleterre, & en Hollande	Godefroy	Estrades	gnd/124630588							Jean	Aymon	gnd/128386770									
302	149950012	Aar	fre	1671	Cologne		De l'État de la France.																					
303	149961154	Aar	fre	1721	Paris		(Relation d'un) Voyage d'Espagne à Bender contenant, un détail circonstancié de ce qu'il y a de plus remarquable à Constantinople, et en d'autres endroits de l'empire ottoman ...	Jules Alexis Bernard	Bellerive	gnd/1016395310																		
304	149972482	Aar	fre	1684	o.O.		Copie de la lettre de Monsieur d'Avaux, an Roy Tres-Chrestien, a la Haye le 9. Jan. 1864. comme elle a esté envoye aux Membres de l'Estat	Jean-Antoine de Mesmes	Avaux	gnd/120804727																		
305	149973586	Acr	fre	1710	LaHaye		Tous les synodes nationaux des églises réformées de France ...	Jean	Aymon	gnd/128386770																		
306	149976712	Aar	fre	1725	Cologne		Les aventures de Joseph Pignata echappé des prisons de l'iquisition de Rome																					
307	149976747	Aar	fre	1625	Paris		Les Éstats, empires, royaumes, et principautez du monde	Pierre	Avity	gnd/100859895																		
308	149980922	Aau	fre	1682	Amsterdam		La Vie De Galeas Caraciol, Marquis De Vico; Et l'Histoire de la fin tragique de François Spiere	Niccolò	Balbani	gnd/124425925							Antoine	Teissier	gnd/129426024									
309	149981376	Aaus	fre	1693	Paris		La Vie De Mr. Des-Cartes ; Contenant L'histoire de sa Philosophie & de ses autres Ouvrages ; Et aussi ce qui luy est arrivé de plus remarquable pendant le cours de sa Vie ; Réduite en abregé	Adrien	Baillet	gnd/118651951													René	Descartes	gnd/118524844			
310	149996926	Acu	fre	1715	Paris		Explication Historique Des Fables, Ou L'On Découvre Leur Origine & leur conformité avec l'Histoire ancienne	Antoine	Banier	gnd/100022324																		
311	150008546	Aaus	fre	1726	Amsterdam		Memoires Pour servir à l'Histoire Des Troubles Arrivés En Suisse, À L'Occasion Du Consensus	Barthélemy	Barnaud	gnd/1036275779																		
312	150013396	Acr	fre	1719	La Haye		Annales Des Provinces-Unies,	Jacques	Basnage de Beauval	gnd/120538253																		
313	150013760	Aaus	fre	1641	A Rouen	gnd/4050751-8	Histoire Generale De La Religion Des Tvrcs ; Avec La Naissance, La Vie, & la mort de leur Prophete Mahomet; Et les actions des quatre premiers Caliphes qui l'ont suiuy ...	Michel	Baudier	gnd/128982187							Jean	Berthelin	gnd/1037568575									
314	150016492	Acr	fre	1666	Cologne		Mémoires du Marschal de Bassompierre ; contenant l'histoire de sa vie et de ce qui sʹest fait de plus remarquable à la cour de France pendant quelques anneés	François	Bassompierre	gnd/118507079																		
315	150016522	Acu	fre	1668	Cologne		Ambassade du mareschal de Bassompierre en Suisse l'an 1625	François	Bassompierre	gnd/118507079																		
316	150023863	Aar	fre	1775	Philadelphie [i.e.Paris]		Traité des délits et des peines ; Traduit De L'Italien, D'apres La Troisieme Edition	Cesare	Beccaria	gnd/118855263																		
317	150025106	Aar	fre	1688	Cologne		Memoires Du Marquis De Beauvau, Pour servir à l'Histoire De Charles IV. Duc de Lorraine et de Bar	Henri	Beauvau	gnd/104074035													leer	leer	gnd/118857673			
318	150032374	Acr	ger	1787	Berlin		Karakterzüge aus dem Leben König Friedrich Wilhelm I.	Karl Friedrich	Benekendorff	gnd/116120347																		
319	150035705	Aar	fre	1718	Amsterdam		Traité des annates	Armand Bernard	Berauld	gnd/1055562516							Louis	Dufour de Longuerue	gnd/1027110452									
320	150035861	Acr	fre	1669	Paris		Histoire générale des guerres de Flandres	Guido	Bentivoglio	gnd/11924358X							Antoine	Oudin	gnd/124711030									
321	150044313	Acr	fre	1734	LaHaye		Alciphron, ou le petit philosophe ...	George	Berkeley	gnd/118509616							Pierre	Joncourt	gnd/1147211418									
322	150055633	Aau	ger	1712	Cölln an der Spree		Preußische Krönungs-Geschichte oder Verlauf der Ceremonien, mit welchen ... Friderich der Dritte, Marggraf und Churfürst zu Brandenburg, die Königliche Würde des ... Königreichs Preussen angenommen, Und sich und Seine Gemahlin, die ... Frau Sophie Charlotte, Aus dem Churhause Braunschweig, den 18. Januarii des 1701 Jahres durch die Salbung als König und Königin einweihen lassen ; Nebst allem was sich auf Ihrer Majestäten Preußischen Hin- und Her-Reise bis zu Ihrer Wiederkunfft und Einzuge in Berlin, und dem darauf erfolgten Danck- Buß- u. Beth-Tage zugetragen ; aufs sorgfältigste beschrieben und im Jahre 1702 das erstemahl gedrucket ...	Johann	Besser	gnd/11851024X																		
323	150065027	Aau	fre	1729	Paris	gnd/4044660-8	Memoires Pour Servir A L'Histoire De France Et De Bourgogne, Contenant Un Journal De Paris, Sous les Regnes de Charles VI. & de Charles VII. ; L'Histoire du Meurtre de Jean sans peur, Duc de Bourgogne, avec les Preuves. Les Etats des Maisons & Officiers des Ducs de Bourgogne de la derniere Race, enrichis de Notes historiques très-interessantes pour un grand nobmre de Familles illustres. Des Lettres de Charles le Hardy, Duc de Bourgogne, au Sieur de Neufchastel du Fay, gouverneur du Luxembourg; [et] plusieurs autres Monumens très-utiles pour l'èclaircissement de l'Histoire du XIV. [et] XV. siecle. Avec une Table des Matieres, & des Noms des Familles les plus considerables dont il est fait mention dans l'Ouvrage	N.	Bois-Morel	gnd/1055529659							Louis François Joseph	LaBarre	gnd/1055134336	Julien-Michel	Gandouin	gnd/1037599837						
324	150066007	Aar	fre	1788	Berlin		Rélation du 32me voyage aërien ... fait a Bronswic le 10 aut 1788	Nicolas François	Blanchard	gnd/1055505210																		
325	150066457	Acus	fre	1730	Paris		Œuvres Diverses De Monsieur L'Abbé De Saint-Pierre	Charles Irénée	Castel de Saint-Pierre	gnd/119510952																		
326	150069650	Aar	fre	1735	Utrecht		Les billets doux ; Comedie	Louis	Boissy	gnd/120770539																		
327	150070152	Aaus	fre	1667	[S.l.]		Dialogue Sur Les Droits De La Reyne Très-Chrestienne										Antoine	Bilain	gnd/128589485	Amable	Bourzeis	gnd/128589736	leer	leer	gnd/119150182			
328	150074719	Aar	fre	1715	Lyon		L'Eloquence chrétienne dans l'idée et dans la pratique	Blaise	Gisbert	gnd/174152450																		
329	150078102	Aaus	fre	1714	Paris		Histoire Chronologique Des Papes, Des Empereurs Et Des Rois, Qui ont regné en Europe depuis la Naissance de Jesus-Christ jusqu'à present																					
330	150078455	Acr	fre	1761	Amsterdam		Histoire de Jean Sobieski, Roi de Pologne	Gabriel François	Coyer	gnd/104327944													leer	leer	gnd/118557769			
331	150079524	Aaus	lat	1701	Amstelodami		Dictionarium Antiquitatum Romanarum et Græcarum, In Usum Serenissimi Delphini Et Serenissimorum Principum Burgundiæ, Andium, Biturgium, Collegit, Digessit, Et Sermone Gallico Reddidit Jussu Regis Christianissimi	Pierre	Danet	gnd/119409267																		
332	150079915	Acr	fre	1691	Paris		Voiage du monde de Descartes	Gabriel	Daniel	gnd/123800749																		
333	150080689	Acu	fre	1727	La Haye		Dictionnaire Universel ; Contenant generalement tous les Mots François, Tant Vieux Que Modernes, Et Les Termes Des Sciences Et Des Arts ...	Antoine	Furetière	gnd/118694316							Henri	Basnage de Beauval	gnd/12053827X	Jean Baptiste	Brutel de la Rivière	gnd/104326069						
334	150080735	Aar	fre	1649	Paris		L'Aeneide travestie ; Livre 4. Contenant les amours d'Aenée de Didon	Antoine	Furetière	gnd/118694316																		
335	150084528	Aaus	fre	1737	Paris		Apologie Des Dames Appuyée Sur L'Histoire	...	Galien	gnd/172836689							...	Auvergne	leer	...	LaSerre	leer						
336	150084897	Acr	fre	1748	Amsterdam		La Poupée	Jean	Galli de Bibiena	gnd/100797067																		
337	150087179	Aaus	fre	1685	Paris		La Philosophie Des Gens De Cour ; Où l'on enseigne d'une maniere aisée & naturelle, ce qu'il y a de plus curieux dans la Phisique, & de plus solide dans la Morale, pour l'usage des Personnes de Qualité	Armand	Gérard	gnd/1055410635							...	Vermandois	leer									
338	150087403	Aar	fre	1737	Paris		L'art de conserver les dents.	Claude J.	Géraudly	gnd/105555579X																		
