	PPN	Bibliographische Gattung und Status	Sprache	Erscheinungsjahr	Erscheinungsort	Erscheinungsort GND	Titel	Verfasservorname	Verfassername	GND Verfasser	1. Weitere Verfasser Vorname	1. Weitere Verfasser Nachname	1. Weitere Verfasser GND	2. Weitere Verfasser Vorname	2. Weitere Verfasser Nachname	2. Weitere Verfasser GND	1. Weitere Person Vorname	1. Weitere Person Nachname	1. Weitere Person GND	2. Weitere Person Vorname	2. Weitere Person Nachname	2. Weitere Person GND	1. Sonstige Person Vorname	1. Sonstige Person Nachname	1. Sonstige Person GND	2. Sonstige Person Vorname	2. Sonstige Person Nachname	2. Sonstige Person GND
811	151208816	Aau	fre	1722	Cologne		Les Amours d'Anne d'Autriche Epouse de Louïs XIII. Avec Monsieur le C. D. R., le veritable Pere de Louïs XIV. Roi de France ; On[!] l'on voit au long comment on s'y prit pour donner un Heretier à la couronne, les resors qu'on fit jouer pour cela, & enfin tout le denouement de cette Comedie ; Ensemble Avec la Reponse au Manifeste du Roi Jaques II. ; Traduit de l'Anglois d'un homme de qualité										Eustache	Le Noble	gnd/118987976	Pierre	Le Noble	gnd/128387769	leer	leer	gnd/118649469			
812	151210799	Aaus	fre	1695	Roma		L'Alcoran De Louis XIV. Ou Le Testement Politique Du Cardinal Jules Mazarin ; Traduit de l'Italien										Gatien	Courtilz de Sandras	gnd/118642170				leer	leer	gnd/118816829	Jules	Mazarin	gnd/118579703
813	151212260	Acu	ger	1786	Berlin		Anekdoten und Karakterzüge aus dem Leben Friedrich des Zweiten																					
814	151216487	Aau	fre	1692	Paris		Les Oeuvres D'Anacréon Et De Sapho ; Contenant leurs Poësies, & les galanteries de l'ancienne Grece	Anacreon		gnd/118649035	Sappho	leer	gnd/118605534				Hilaire Bernard de Requeleyne	Longepierre	gnd/100514200									
815	151217742	Acr	fre	1767	Paris		L' esprit de la lique, ou histoire politique des troubles de France, Pendant les XVIe. et XVIIe. siècles ...	Louis Pierre	Anquetil	gnd/11766183X																		
816	151218072	Acus	fre	1774	Paris		Vie De Marie De Médicis, Princesse De Toscane, Reine De France Et De Navarre	Marie Geneviève Charlotte	Thiroux D'Arconville	gnd/120869055													Frans	Pourbus	gnd/123076439	leer	leer	gnd/118577778
817	151227586	Aar	fre	1692	Paris		Comédies Grecques ; Trad. en françois, avec des notes critiques, et un examen de chaque pièce selon les règles du théatre	Aristophanes		gnd/118503987							Anne	Dacier	gnd/118670840									
818	151229767	Acr	fre	1735	Amsterdam		Histoire de l'amirable Don Quzichotte de la Manche	Miguel	Cervantes Saavedra	gnd/11851993X																		
819	151248028	Aar	fre	1664	Paris		Les guerres d'Alexandre	Flavius	Arrianus	gnd/118504436							Nicolas Perrot	Ablancourt	gnd/123853850									
820	151249083	Aar	fre	1739	LaHaye		Relation de ce qui s'est passé dans une assemblée, tenue au bas du Parnasse pour la reforme des belles lettres ; Ouvrage curieux, ...	Antoine	Gachet d'Artigny	gnd/100016847																		
821	151258244	Acr	fre	1616	Maillé		L'histoire universelle	Théodore Agrippa	Aubigné	gnd/118650947																		
822	151258791	Aar	fre	1711	Paris		Mémoires pour servir à l'histoire de Hollande et des autres provinces unies. Ou l'on verra les veritables causes Divisions qui sont depuis soixante ans dans cette Republique, et qui la menacent de ruine	Louis	Aubery DuMaurier	gnd/143699520																		
823	151259216	Acr	fre	1689	Paris		La geographie ancienne, moderne et historique	Jean Baptiste	Audiffret	gnd/17326302X																		
824	151259488	Aar	fre	1716	Amsterdam		Cruels effets de la vengeance du cardinal de Richelieu, ou histoire des diables de Loudun, de la possession des religieuses Ursulines, et de la condamnation & du suplice d'urbain Grandier, Curé de la même ville	Nicolas	Aubin	gnd/138488177																		
825	151259577	Acr	fre	1667	Cologne		Mémoires Pour L'Histoire Du Cardinal Duc De Richelieu										Antoine	Aubery	gnd/122898486									
