	PPN	Signatur 1	Signatur 2	Signatur 3	Signatur 4	Signatur 5	Anmerkung 1	Anmerkung 2	Anmerkung 3	Provenienz 1	Provenienz 2	Provenienz 3
1056	233881263	M: Lq 1017:1	leer	leer	leer	leer	Signatur der Bibliothek von Herzogin Philippine Charlotte von Braunschweig-Lüneburg	leer	leer	Provenienz: Philippine Charlotte <Braunschweig-Lüneburg, Herzogin> / Einband / Monogramm	Provenienz: Philippine Charlotte <Braunschweig-Lüneburg, Herzogin> / Signatur	Philippine Charlotte <Braunschweig-Lüneburg, Herzogin>
1057	233954031	M: Lg 1980 (1)	leer	leer	leer	leer	Wappensupralibros Dumas [de Montbail oder de Montmartin?]	leer	leer	Provenienz: Dumas de Montbail <Familie> / Einband / Wappen	Provenienz: Philippine Charlotte <Braunschweig-Lüneburg, Herzogin> / Signatur	Dumas de Montbail <Familie>
1058	234015942	M: Lm 4043a	leer	leer	leer	leer	Wappensupralibros: Dumas [de Montbail oder de Montmartin]	leer	leer	Provenienz: Montbail, Marthe Du Mas ^de^ / Autogramm	Provenienz: Dumas de Montbail <Familie> / Einband / Wappen	Montbail, Marthe Dumas ^de^
1059	234040408	M: Gq 156:1	leer	leer	leer	leer	Wappensupralibros: Dumas [de Montbail oder de Montmartin]	leer	leer	Provenienz: Montbail, Marthe Du Mas ^de^ / Autogramm	Provenienz: Dumas de Montbail <Familie> / Einband / Wappen	Provenienz: Philippine Charlotte <Braunschweig-Lüneburg, Herzogin> / Signatur
1060	234396830	M: Lq 1052	leer	leer	leer	leer	leer	leer	leer	leer	leer	leer
1061	234929499	M: Gp 372:1,1	leer	leer	leer	leer	Hs. Besitzvermerk: GNeuhaus	leer	leer	Provenienz: Neuhaus, G. / Autogramm	Provenienz: Montbail, Marthe Du Mas ^de^ / Autogramm	Provenienz: Dumas de Montbail <Familie> / Einband / Wappen
1062	235343404	M: Gk 2° 72	leer	leer	leer	leer	leer	leer	leer	leer	leer	leer
1063	235349739	M: Gk 1947:1	leer	leer	leer	leer	leer	leer	leer	leer	leer	leer
1064	235378801	M: Vb 631	leer	leer	leer	leer	leer	leer	leer	leer	leer	leer
1065	235534137	M: Lm 2164:1	leer	leer	leer	leer	Wappensupralibros: Dumas [de Montbail oder de Montmartin]	leer	leer	Provenienz: Dumas de Montbail <Familie> / Einband / Wappen	Provenienz: Philippine Charlotte <Braunschweig-Lüneburg, Herzogin> / Signatur	Dumas de Montbail <Familie>
1066	235546070	M: Rf 4° 17	leer	leer	leer	leer	Wappensupralibros Dumas [de Montbail oder de Montmartin?]	leer	leer	Provenienz: Dumas de Montbail <Familie> / Einband / Wappen	Provenienz: Philippine Charlotte <Braunschweig-Lüneburg, Herzogin> / Signatur	Dumas de Montbail <Familie>
1067	235634417	leer	leer	leer	leer	leer	leer	leer	leer	leer	leer	leer
1068	235694711	M: Ml 1a:1	leer	leer	leer	leer	Wappensupralibros Dumas [de Montbail oder de Montmartin?]	leer	leer	Provenienz: Dumas de Montbail <Familie> / Einband / Wappen	Provenienz: Philippine Charlotte <Braunschweig-Lüneburg, Herzogin> / Signatur	Dumas de Montbail <Familie>
1069	235799459	M: Hk 67	leer	leer	leer	leer	Wappensupralibros: Dumas [de Montbail oder de Montmartin]	leer	leer	Provenienz: Montbail, Marthe Du Mas ^de^ / Autogramm	Provenienz: Dumas de Montbail <Familie> / Einband / Wappen	Provenienz: Philippine Charlotte <Braunschweig-Lüneburg, Herzogin> / Signatur
1070	236005936	M: Gk 1983	leer	leer	leer	leer	Wappensupralibros: Dumas [de Montbail oder de Montmartin]	leer	leer	Provenienz: Dumas de Montbail <Familie> / Einband / Wappen	Provenienz: Philippine Charlotte <Braunschweig-Lüneburg, Herzogin> / Signatur	Dumas de Montbail <Familie>
1071	236288865	M: Gv 1037:1 (1)	leer	leer	leer	leer	leer	leer	leer	leer	leer	leer
1072	236378139	M: Oe 649	leer	leer	leer	leer	Wappensupralibros: Dumas [de Montbail oder de Montmartin?]	leer	leer	Provenienz: Dumas de Montbail <Familie> / Einband / Wappen	Provenienz: Philippine Charlotte <Braunschweig-Lüneburg, Herzogin> / Signatur	Dumas de Montbail <Familie>
1073	236688456	M: Oe 655:1	leer	leer	leer	leer	leer	leer	leer	leer	leer	leer
1074	237320738	M: Gk 2038	leer	leer	leer	leer	leer	leer	leer	leer	leer	leer
1075	237321378	M: Gk 2° 80	leer	leer	leer	leer	leer	leer	leer	leer	leer	leer
1076	237682257	M: Rb 752	M: Rq 395	leer	leer	leer	leer	leer	leer	leer	leer	leer
1077	237856263	M: Da 536	leer	leer	leer	leer	Wappensupralibros: Dumas [de Montbail oder de Montmartin?]	leer	leer	Provenienz: Dumas de Montbail <Familie> / Einband / Wappen	Provenienz: Philippine Charlotte <Braunschweig-Lüneburg, Herzogin> / Signatur	Dumas de Montbail <Familie>
